Lastname,Firstname,Month,Date,Year,City
Audljn,Elisha,May,12,1675,Boston
Aullice,Danll,May,15,1690,Dedham
Austin,Antho.,May,19,1669,
Austin,Samuell,July,5,1653,Wells
Avery,Thom.,Feb,28,1642-3,Salem
Avery,Wm.,May,23,1677,Dedham
Avesson,Jno.,May,7,1685,Reading
Awry,Robert,May,15,1690,Dedham
Ayer[seeAires;Eyre;andEyers],Peter,May,22,1666,Haverhill
Ayer[seeAires;Eyre;andEyers],Rob't,May,22,1666,Haverhill
Ayer[seeAires;Eyre;andEyers],Tho.,May,22,1666,Haverhill
Ayres,Samuell,May,16,1683,Haverhill
